GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
questevent-backend,com.questevent.enums,ReviewStatus,0,21,0,0,0,4,0,1,0,1
questevent-backend,com.questevent.enums,ProgramStatus,0,21,0,0,0,4,0,1,0,1
questevent-backend,com.questevent.enums,CompletionStatus,0,21,0,0,0,4,0,1,0,1
questevent-backend,com.questevent.enums,Department,0,27,0,0,0,4,0,1,0,1
questevent-backend,com.questevent.enums,Role,0,27,0,0,0,5,0,1,0,1
questevent-backend,com.questevent.scheduler,ProgramWalletScheduler,4,6,0,0,2,3,1,1,1,1
questevent-backend,com.questevent.exception,GlobalExceptionHandler,55,3,0,0,8,1,4,1,4,1
questevent-backend,com.questevent.dto,UserPrincipal,0,12,0,0,0,1,0,1,0,1
questevent-backend,com.questevent.dto,JudgeSubmissionDTO,0,33,0,0,0,1,0,1,0,1
questevent-backend,com.questevent.dto,LeaderboardDTO,0,18,0,0,0,1,0,1,0,1
questevent-backend,com.questevent.dto,ActivitySubmissionDTO,24,0,0,0,1,0,1,0,1,0
questevent-backend,com.questevent,QuestEventApplication,5,3,0,0,2,1,1,1,1,1
questevent-backend,com.questevent.entity,Activity,4,0,0,0,2,0,1,0,1,0
questevent-backend,com.questevent.entity,ActivitySubmission,7,0,0,0,3,0,1,0,1,0
questevent-backend,com.questevent.entity,AllowedUser,0,3,0,0,0,1,0,1,0,1
questevent-backend,com.questevent.rbac,RbacService,361,596,121,97,84,136,90,44,5,20
questevent-backend,com.questevent.config,JwtAuthFilter,215,184,51,19,56,45,32,7,1,3
questevent-backend,com.questevent.config,OpenApiConfig,0,44,0,0,0,16,0,2,0,2
questevent-backend,com.questevent.config,CorsConfig,0,72,0,0,0,10,0,2,0,2
questevent-backend,com.questevent.config,SecurityConfig,0,94,0,0,0,18,0,6,0,6
questevent-backend,com.questevent.controller,AuthController,5,123,1,3,0,31,2,7,1,6
questevent-backend,com.questevent.controller,UserController,0,65,0,0,0,18,0,6,0,6
questevent-backend,com.questevent.controller,UserWalletController,0,11,0,0,0,5,0,2,0,2
questevent-backend,com.questevent.controller,ProgramWalletController,0,24,0,0,0,8,0,4,0,4
questevent-backend,com.questevent.controller,LeaderboardController,0,9,0,0,0,2,0,2,0,2
questevent-backend,com.questevent.controller,AuthTokenController,45,260,8,8,6,54,9,8,2,7
questevent-backend,com.questevent.controller,SubmissionController,0,14,0,0,0,7,0,1,0,1
questevent-backend,com.questevent.controller,ProgramRegistrationController,39,56,0,0,11,21,3,6,3,6
questevent-backend,com.questevent.controller,ProgramController,10,188,3,1,1,59,2,14,0,14
questevent-backend,com.questevent.controller,ActivityRegistrationController,41,80,0,0,12,29,3,8,3,8
questevent-backend,com.questevent.controller,JudgeController,0,18,0,0,0,6,0,3,0,3
questevent-backend,com.questevent.controller,ActivityController,11,93,0,0,2,22,1,6,1,6
questevent-backend,com.questevent.repository,LeaderboardRepositoryImpl,17,3,0,0,5,1,2,1,2,1
questevent-backend,com.questevent.service,ProgramRegistrationService,121,185,3,3,28,47,9,11,7,10
questevent-backend,com.questevent.service,ActivityRegistrationService,145,186,2,6,45,50,15,8,13,6
questevent-backend,com.questevent.service,SubmissionServiceImpl,0,61,0,4,0,18,0,4,0,2
questevent-backend,com.questevent.service,OAuthSuccessService,0,98,1,9,0,23,1,7,0,3
questevent-backend,com.questevent.service,ActivityService,22,142,3,5,4,31,3,11,1,9
questevent-backend,com.questevent.service,JudgeServiceImpl,0,137,0,6,0,45,0,8,0,5
questevent-backend,com.questevent.service,ProgramService,52,465,19,41,6,108,23,28,4,17
questevent-backend,com.questevent.service,LeaderboardService,16,30,6,6,3,9,6,2,0,2
questevent-backend,com.questevent.service,JwtService,0,195,2,4,0,44,2,14,0,13
questevent-backend,com.questevent.service,UserService,24,128,5,5,6,34,5,9,0,9
questevent-backend,com.questevent.service,ProgramWalletService,0,225,3,9,0,54,3,13,0,10
questevent-backend,com.questevent.service,UserWalletTransactionServiceImpl,5,44,2,4,1,13,2,4,0,3
questevent-backend,com.questevent.service,UserWalletService,11,106,4,8,2,28,4,7,0,5
questevent-backend,com.questevent.service,ProgramWalletTransactionServiceImpl,21,219,7,21,5,62,9,12,2,5
